"Check Number","Transaction Type","Transaction Date","Category","Description","Amount","Running Balance"
"","POS Purchase","01/03/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-40.00","12342.05"
"","Deposit","01/07/2013","","","1040.00","13382.05"
"1127","Check","01/28/2013","","","-35.95","13346.10"
"","Debit Card Fee","01/31/2013","","","-1.00","13345.10"
"","POS Purchase","02/01/2013","","ADK SPORTS             5188778788   NYUS","-220.00","13125.10"
"1128","Check","02/05/2013","","","-1000.00","12125.10"
"","POS Purchase","02/05/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-40.00","12085.10"
"","Deposit","02/20/2013","","","2220.00","14305.10"
"1129","Check","02/20/2013","","","-250.00","14055.10"
"1131","Check","02/25/2013","","","-291.47","13763.63"
"1130","Check","02/25/2013","","","-472.00","13291.63"
"","Debit Card Fee","02/28/2013","","","-1.00","13290.63"
"","POS Purchase","03/04/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-48.00","13242.63"
"","Direct Deposit","03/07/2013","","PIONEER REGISTRA  #PRS","205.00","13447.63"
"","Direct Deposit","03/11/2013","","Square Inc  130311M2","588.33","14035.96"
"","Deposit","03/18/2013","","","882.00","14917.96"
"1132","Check","03/20/2013","","","-2315.01","12602.95"
"1133","Check","03/25/2013","","","-317.36","12285.59"
"","Debit Card Fee","03/29/2013","","","-1.00","12284.59"
"","Direct Deposit","04/02/2013","","PIONEER REGISTRA  #PRS","305.00","12589.59"
"","POS Purchase","04/12/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-58.00","12531.59"
"","POS Purchase","04/15/2013","","VERTICALRESPONSE INC   415-905-6880 CAUS","-15.00","12516.59"
"1134","Check","04/22/2013","","","-145.95","12370.64"
"1136","Check","04/24/2013","","","-118.75","12251.89"
"1135","Check","04/29/2013","","","-37.04","12214.85"
"1137","Check","04/29/2013","","","-177.83","12037.02"
"","Debit Card Fee","04/30/2013","","","-1.00","12036.02"
"","Deposit","05/02/2013","","","560.00","12596.02"
"","POS Purchase","05/02/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-48.00","12548.02"
"","POS Purchase","05/06/2013","","USPS PO BOXES 66101510 800-3447779  DCUS","-78.00","12470.02"
"","POS Purchase","05/06/2013","","VERTICALRESPONSE INC   415-905-6880 CAUS","-26.00","12444.02"
"","Direct Deposit","05/07/2013","","PIONEER REGISTRA  #PRS","1090.00","13534.02"
"1138","Check","05/08/2013","","","-25.00","13509.02"
"","POS Purchase","05/15/2013","","IMBA - ON LINE         888-955-5455 COUS","-100.00","13409.02"
"","Deposit","05/24/2013","","","2620.00","16029.02"
"1139","Check","05/28/2013","","","-245.90","15783.12"
"","POS Purchase","05/30/2013","","VERTICALRESPONSE INC   415-905-6880 CAUS","-15.00","15768.12"
"","Debit Card Fee","05/31/2013","","","-1.00","15767.12"
"","Direct Deposit","06/04/2013","","PIONEER REGISTRA  #PRS","815.00","16582.12"
"","POS Purchase","06/04/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-48.00","16534.12"
"","Direct Deposit","06/10/2013","","Square Inc  130610B2","101.32","16635.44"
"","POS Purchase","06/10/2013","","HANNAFORD #8391        SARATOGA SPRINYUS","-83.73","16551.71"
"","POS Purchase","06/10/2013","","WAL-MART #2056         SARATOGA SPRINYUS","-192.11","16359.60"
"","POS Purchase","06/10/2013","","WAL-MART #2056         SARATOGA SPRINYUS","-12.78","16346.82"
"","POS Purchase","06/12/2013","","VERTICALRESPONSE INC   415-905-6880 CAUS","-7.50","16339.32"
"1140","Check","06/19/2013","","","-132.57","16206.75"
"","Deposit","06/24/2013","","","829.00","17035.75"
"1141","Check","06/24/2013","","","-68.59","16967.16"
"","Debit Card Fee","06/28/2013","","","-1.00","16966.16"
"","Direct Deposit","07/02/2013","","PIONEER REGISTRA  #PRS","585.00","17551.16"
"","POS Purchase","07/02/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-48.00","17503.16"
"1143","Check","07/03/2013","","","-35.15","17468.01"
"1144","Check","07/03/2013","","","-138.34","17329.67"
"","Deposit","07/10/2013","","","2080.00","19409.67"
"","POS Purchase","07/30/2013","","VERTICALRESPONSE INC   415-905-6880 CAUS","-60.00","19349.67"
"","Debit Card Fee","07/31/2013","","","-1.00","19348.67"
"","POS Purchase","08/02/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-48.00","19300.67"
"","Direct Deposit","08/06/2013","","PIONEER REGISTRA  #PRS","275.00","19575.67"
"","Debit Card Fee","08/30/2013","","","-1.00","19574.67"
"","POS Purchase","09/04/2013","","AFFORDABLE STORAGE     518-581-9123 NYUS","-48.00","19526.67"
"1145","Check","09/10/2013","","","-99.83","19426.84"
"","Debit Card Fee","09/30/2013","","","-1.00","19425.84"
"1148","Check","10/07/2013","","","-150.41","19275.43"
"","POS Purchase","10/07/2013","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","19227.43"
"","Direct Deposit","10/08/2013","","PIONEER REGISTRA  #PRS","120.00","19347.43"
"1147","Check","10/16/2013","","","-37.04","19310.39"
"1149","Check","10/17/2013","","","-2315.01","16995.38"
"1150","Check","10/22/2013","","","-52.59","16942.79"
"1151","Check","10/24/2013","","","-682.29","16260.50"
"","Debit Card Fee","10/31/2013","","","-1.00","16259.50"
"1146","Check","11/04/2013","","","-103.34","16156.16"
"","POS Purchase","11/04/2013","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","16108.16"
"1152","Check","11/06/2013","","","-158.37","15949.79"
"1154","Check","11/12/2013","","","-31.10","15918.69"
"","POS Purchase","11/13/2013","","THE MILL               ROUND LAKE   NYUS","-54.29","15864.40"
"","POS Purchase","11/18/2013","","EXXONMOBIL    99271462 SARATOGA SPRINYUS","-4.46","15859.94"
"","POS Purchase","11/18/2013","","WAL-MART #2056         SARATOGA SPRINYUS","-7.92","15852.02"
"","POS Purchase","11/18/2013","","DUNKIN #340504     Q35 SARATOGA     NYUS","-22.66","15829.36"
"1155","Check","11/20/2013","","","-71.60","15757.76"
"","Debit Card Fee","11/29/2013","","","-1.00","15756.76"
"1156","Check","12/02/2013","","","-25.00","15731.76"
"1157","Check","12/02/2013","","","-750.00","14981.76"
"","POS Purchase","12/03/2013","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","14933.76"
"","Deposit","12/23/2013","","","800.00","15733.76"
"","Debit Card Fee","12/31/2013","","","-1.00","15732.76"
"","POS Purchase","01/03/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","15684.76"
"","Debit Card Fee","01/31/2014","","","-1.00","15683.76"
"","POS Purchase","02/04/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","15635.76"
"","Deposit","02/05/2014","","","2322.86","17958.62"
"1158","Check","02/07/2014","","","-270.00","17688.62"
"","POS Purchase","02/11/2014","","VERTICALRESPONSE INC   415-905-6880 CAUS","-36.00","17652.62"
"1159","Check","02/28/2014","","","-1000.00","16652.62"
"","Debit Card Fee","02/28/2014","","","-1.00","16651.62"
"","POS Purchase","03/04/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","16603.62"
"","Direct Deposit","03/10/2014","","Square Inc  140310B2","370.16","16973.78"
"1160","Check","03/10/2014","","","-391.40","16582.38"
"","POS Purchase","03/10/2014","","CVS PHARMACY #3379     WILTON       NYUS","-12.17","16570.21"
"","POS Purchase","03/10/2014","","FEDEXOFFICE   00006346 SARATOGA SPRINYUS","-51.36","16518.85"
"1161","Check","03/11/2014","","","-930.00","15588.85"
"","Debit Card Fee","03/31/2014","","","-1.00","15587.85"
"1162","Check","04/03/2014","","","-264.94","15322.91"
"","POS Purchase","04/03/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","15274.91"
"","POS Purchase","04/07/2014","","PANERA BREAD #3546     FRANKLIN     MAUS","-14.31","15260.60"
"","POS Purchase","04/07/2014","","RAIZADA MART           SCHENECTADY  NYUS","-40.57","15220.03"
"","POS Purchase","04/07/2014","","BRITISH BEER COMPA     HYANNIS      MAUS","-35.27","15184.76"
"","POS Purchase","04/07/2014","","RESORT AND CONFERENCE CHYANNIS      MAUS","-110.58","15074.18"
"","Direct Deposit","04/08/2014","","PIONEER REGISTRA  #PRS","955.00","16029.18"
"","POS Purchase","04/08/2014","","NORTH STREET AUTO REPAIHYANNIS      MAUS","-42.49","15986.69"
"","POS Purchase","04/08/2014","","EXXONMOBIL    97344014 SCOTIA       NYUS","-7.50","15979.19"
"1163","Check","04/10/2014","","","-25.00","15954.19"
"","POS Purchase","04/16/2014","","USPS PO BOXES 66101510 800-3447779  DCUS","-80.00","15874.19"
"","POS Purchase","04/23/2014","","LOWES #00560*          SARATOGA SPRINYUS","-204.10","15670.09"
"","Debit Card Fee","04/30/2014","","","-1.00","15669.09"
"1168","Check","05/02/2014","","","-164.09","15505.00"
"1169","Check","05/05/2014","","","-870.00","14635.00"
"","POS Purchase","05/05/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","14587.00"
"","Direct Deposit","05/06/2014","","PIONEER REGISTRA  #PRS","1285.00","15872.00"
"1171","Check","05/09/2014","","","-34.24","15837.76"
"1170","Check","05/13/2014","","","-100.00","15737.76"
"1167","Check","05/13/2014","","","-160.00","15577.76"
"1165","Check","05/19/2014","","","-13.10","15564.66"
"1164","Check","05/19/2014","","","-13.27","15551.39"
"1166","Check","05/19/2014","","","-50.00","15501.39"
"1172","Check","05/23/2014","","","-57.25","15444.14"
"","Debit Card Fee","05/30/2014","","","-1.00","15443.14"
"","Direct Deposit","06/03/2014","","PIONEER REGISTRA  #PRS","1025.00","16468.14"
"1174","Check","06/03/2014","","","-29.95","16438.19"
"","POS Purchase","06/03/2014","","AFFORDABLE STORAGE     WILTON       NYUS","-48.00","16390.19"
