"Check Number","Transaction Type","Transaction Date","Category","Description","Amount","Running Balance"
"","POS Purchase Non-PIN","01/06/2017","","POS Purchase Non-PIN VITAL SIGN AND      GRAPHICS COHOES NY *****0357 01/05       16:16                                   ","-198.00","14609.60"
"","Deposit","01/30/2017","","Deposit                                 ","131.00","14740.60"
"","POS Purchase Non-PIN","02/06/2017","","POS Purchase Non-PIN DNH*GODADDY.COM     480-5058855 AZ *****0357 02/05 06:47    ","-20.17","14720.43"
"1297","Check","03/08/2017","","Check                                   ","-61.37","14659.06"
"1296","Check","04/04/2017","","Check                                   ","-650.00","14009.06"
"","POS Purchase Non-PIN","04/24/2017","","POS Purchase Non-PIN PAYPAL              *SARATOGAMOU 402-935-7733 CA *****0357   04/22 09:23                             ","-20.00","13989.06"
"","POS Purchase Non-PIN","04/26/2017","","POS Purchase Non-PIN PAYPAL              *SARATOGAMOU San Jose CA *****0357       04/25 18:26                             ","-42.50","13946.56"
"","ACH Credit","04/27/2017","","PAYPAL/TRANSFER SARATOGA MOUNTAIN BIKE  ","78.01","14024.57"
"","ACH Debit","04/28/2017","","PAYPAL/INST XFER SARATOGA MOUNTAIN BIKE ","-223.29","13801.28"
"","ACH Debit","05/19/2017","","PACHNER & ASSOCI/PREAUTHPMT SARATOGA     MOUNTAIN BIKE                           ","-1403.00","12398.28"
"","POS Purchase Non-PIN","06/06/2017","","POS Purchase Non-PIN NYS ELICENSING      518-4538130 NY *****0357 06/05 11:44    ","-36.00","12362.28"
"","POS Purchase Non-PIN","06/19/2017","","POS Purchase Non-PIN OLIVERS BEVERAGE    ALBANY NY *****0357 06/16 16:09         ","-35.89","12326.39"
"","POS Purchase With PIN","06/19/2017","","POS Purchase With PIN HANNAFORD #8367    ALBANY NY *****0357 06/16 17:32         ","-51.35","12275.04"
"","POS Purchase With PIN","06/19/2017","","POS Purchase With PIN STEWARTS SHOP 291  ALBANY NY *****0357 06/17 08:07         ","-5.38","12269.66"
"","ACH Credit","06/27/2017","","PAYPAL/TRANSFER SARATOGA MOUNTAIN BIKE  ","1692.40","13962.06"
"1298","Check","06/27/2017","","Check                                   ","-71.12","13890.94"
"1299","Check","07/03/2017","","Check                                   ","-225.00","13665.94"
"","ACH Credit","08/15/2017","","PAYPAL/TRANSFER SARATOGA MOUNTAIN BIKE  ","478.56","14144.50"
"1301","Check","08/31/2017","","Check                                   ","-26.55","14117.95"
"1302","Check","09/26/2017","","Check                                   ","-40.86","14077.09"
"1303","Check","09/28/2017","","Check                                   ","-49.68","14027.41"
"1304","Check","10/26/2017","","Check                                   ","-150.00","13877.41"
